Condition,Samp,ES,Outliers,ErrorRMean,ErrorRMedian,ErrorWelch,ErrorWilcoxon,,,
1,50,0,0%,0.0466,0.0460,0.0464,0.0464,,,
2,100,0,0%,0.0513,0.0492,0.0506,0.0494,,,
3,150,0,0%,0.0522,0.0475,0.0522,0.0508,,,
4,500,0,0%,0.0521,0.0494,0.0512,0.0532,,,
5,50,0.2,0%,0.8961,0.9112,0.8957,0.8997,,,
6,100,0.2,0%,0.8597,0.8888,0.8631,0.8666,,,
7,150,0.2,0%,0.7696,0.8216,0.7713,0.7764,,,
8,500,0.2,0%,0.3926,0.5466,0.3923,0.4099,,,
9,50,0.5,0%,0.5922,0.6819,0.5925,0.6118,,,
10,100,0.5,0%,0.4285,0.5775,0.4411,0.4562,,,
11,150,0.5,0%,0.1437,0.2693,0.1399,0.1582,,,
12,500,0.5,0%,0.0001,0.0043,0.0001,0.0000,,,
13,50,0.8,0%,0.2136,0.3357,0.2125,0.2395,,,
14,100,0.8,0%,0.0696,0.1953,0.0772,0.0864,,,
15,150,0.8,0%,0.0030,0.0194,0.0031,0.0037,,,
16,500,0.8,0%,0.0000,0.0000,0.0000,0.0000,,,
17,50,0,8% one-sided,0.0960,0.0530,0.0868,0.0629,,,
18,100,0,8% one-sided,0.2640,0.0665,0.0863,0.0761,,,
19,150,0,8% one-sided,0.4005,0.0805,0.3947,0.1247,,,
20,500,0,8% one-sided,0.9630,0.1564,0.9640,0.3316,,,
21,50,0.2,8% one-sided,0.7316,0.8625,0.7460,0.8148,,,
22,100,0.2,8% one-sided,0.4073,0.7990,0.6952,0.7250,,,
23,150,0.2,8% one-sided,0.1718,0.6799,0.1732,0.5169,,,
24,500,0.2,8% one-sided,0.0000,0.2068,0.0000,0.0445,,,
25,50,0.5,8% one-sided,0.3412,0.5804,0.3583,0.4642,,,
26,100,0.5,8% one-sided,0.0643,0.4241,0.2339,0.2681,,,
27,150,0.5,8% one-sided,0.0029,0.1478,0.0034,0.0411,,,
28,500,0.5,8% one-sided,0.0000,0.0000,0.0000,0.0000,,,
29,50,0.8,8% one-sided,0.0751,0.2512,0.0830,0.1387,,,
30,100,0.8,8% one-sided,0.0026,0.1146,0.0269,0.0367,,,
31,150,0.8,8% one-sided,0.0000,0.0047,0.0000,0.0001,,,
32,500,0.8,8% one-sided,0.0000,0.0000,0.0000,0.0000,,,
33,50,0,4% two-sided,0.0060,0.0391,0.0046,0.0338,,,
34,100,0,4% two-sided,0.0162,0.0510,0.0027,0.0360,,,
35,150,0,4% two-sided,0.0051,0.0437,0.0047,0.0375,,,
36,500,0,4% two-sided,0.0062,0.0460,0.0061,0.0391,,,
37,50,0.2,4% two-sided,0.9829,0.9215,0.9849,0.9243,,,
38,100,0.2,4% two-sided,0.9458,0.8957,0.9928,0.8978,,,
39,150,0.2,4% two-sided,0.9427,0.8394,0.9454,0.8254,,,
40,500,0.2,4% two-sided,0.7197,0.5746,0.7205,0.4816,,,
41,50,0.5,4% two-sided,0.8592,0.7164,0.8716,0.6745,,,
42,100,0.5,4% two-sided,0.6180,0.5934,0.8593,0.5258,,,
43,150,0.5,4% two-sided,0.4008,0.3048,0.4000,0.2098,,,
44,500,0.5,4% two-sided,0.0039,0.0065,0.0038,0.0007,,,
45,50,0.8,4% two-sided,0.4986,0.3733,0.5194,0.3000,,,
46,100,0.8,4% two-sided,0.1532,0.2164,0.4218,0.1272,,,
47,150,0.8,4% two-sided,0.0170,0.0212,0.0178,0.0049,,,
48,500,0.8,4% two-sided,0.0000,0.0000,0.0000,0.0000,,,
49,50,0,16% one-sided,0.3356,0.0955,0.3213,0.1354,,,
50,100,0,16% one-sided,0.7883,0.1361,0.3528,0.1956,,,
51,150,0,16% one-sided,0.9544,0.1972,0.9548,0.3782,,,
52,500,0,16% one-sided,1.0000,0.5267,1.0000,0.8978,,,
53,50,0.2,16% one-sided,0.4055,0.7833,0.4224,0.6813,,,
54,100,0.2,16% one-sided,0.0503,0.6589,0.3253,0.5209,,,
55,150,0.2,16% one-sided,0.0025,0.4472,0.0020,0.2035,,,
56,500,0.2,16% one-sided,0.0000,0.0323,0.0000,0.0005,,,
57,50,0.5,16% one-sided,0.1053,0.4626,0.1118,0.3070,,,
58,100,0.5,16% one-sided,0.0018,0.2956,0.0490,0.1378,,,
59,150,0.5,16% one-sided,0.0000,0.0526,0.0000,0.0059,,,
60,500,0.5,16% one-sided,0.0000,0.0000,0.0000,0.0000,,,
61,50,0.8,16% one-sided,0.0102,0.1632,0.0112,0.0657,,,
62,100,0.8,16% one-sided,0.0000,0.0590,0.0021,0.0105,,,
63,150,0.8,16% one-sided,0.0000,0.0012,0.0000,0.0000,,,
64,500,0.8,16% one-sided,0.0000,0.0000,0.0000,0.0000,,,
65,50,0,8% two-sided,0.0018,0.0341,0.0015,0.0270,,,
66,100,0,8% two-sided,0.0113,0.0608,0.0012,0.0326,,,
67,150,0,8% two-sided,0.0016,0.0393,0.0012,0.0255,,,
68,500,0,8% two-sided,0.0019,0.0419,0.0018,0.0288,,,
69,50,0.2,8% two-sided,0.9962,0.9308,0.9965,0.9438,,,
70,100,0.2,8% two-sided,0.9794,0.8890,0.9993,0.9223,,,
71,150,0.2,8% two-sided,0.9905,0.8670,0.9921,0.8815,,,
72,500,0.2,8% two-sided,0.9234,0.6376,0.9243,0.6060,,,
73,50,0.5,8% two-sided,0.9619,0.7507,0.9668,0.7532,,,
74,100,0.5,8% two-sided,0.7713,0.6063,0.9792,0.6109,,,
75,150,0.5,8% two-sided,0.6949,0.3632,0.6978,0.3068,,,
76,500,0.5,8% two-sided,0.0264,0.0113,0.0255,0.0021,,,
77,50,0.8,8% two-sided,0.7652,0.4185,0.7816,0.3832,,,
78,100,0.8,8% two-sided,0.2780,0.2349,0.7617,0.1811,,,
79,150,0.8,8% two-sided,0.0889,0.0364,0.0895,0.0147,,,
80,500,0.8,8% two-sided,0.0000,0.0000,0.0000,0.0000,,,
81,50,0,24% one-sided,0.7137,0.1668,0.7010,0.2681,,,
82,100,0,24% one-sided,0.9883,0.2816,0.7979,0.4096,,,
83,150,0,24% one-sided,1.0000,0.4436,1.0000,0.7585,,,
84,500,0,24% one-sided,1.0000,0.9189,1.0000,0.9996,,,
85,50,0.2,24% one-sided,0.1055,0.6424,0.1127,0.4811,,,
86,100,0.2,24% one-sided,0.0004,0.4663,0.0475,0.2883,,,
87,150,0.2,24% one-sided,0.0000,0.2100,0.0000,0.0356,,,
88,500,0.2,24% one-sided,0.0000,0.0010,0.0000,0.0000,,,
89,50,0.5,24% one-sided,0.0101,0.3090,0.0111,0.1613,,,
90,100,0.5,24% one-sided,0.0000,0.1504,0.0017,0.0478,,,
91,150,0.5,24% one-sided,0.0000,0.0106,0.0000,0.0002,,,
92,500,0.5,24% one-sided,0.0000,0.0000,0.0000,0.0000,,,
93,50,0.8,24% one-sided,0.0008,0.0893,0.0006,0.0247,,,
94,100,0.8,24% one-sided,0.0000,0.0223,0.0000,0.0017,,,
95,150,0.8,24% one-sided,0.0000,0.0001,0.0000,0.0000,,,
96,500,0.8,24% one-sided,0.0000,0.0000,0.0000,0.0000,,,
97,50,0,12% two-sided,0.0012,0.0344,0.0008,0.0178,,,
98,100,0,12% two-sided,0.0095,0.0632,0.0009,0.0248,,,
99,150,0,12% two-sided,0.0015,0.0361,0.0015,0.0196,,,
100,500,0,12% two-sided,0.0018,0.0431,0.0021,0.0285,,,
101,50,0.2,12% two-sided,0.9998,0.9432,0.9998,0.9662,,,
102,100,0.2,12% two-sided,0.9921,0.8975,0.9997,0.9506,,,
103,150,0.2,12% two-sided,0.9989,0.8898,0.9991,0.9229,,,
104,500,0.2,12% two-sided,0.9915,0.7062,0.9913,0.7436,,,
105,50,0.5,12% two-sided,0.9919,0.7850,0.9936,0.8241,,,
106,100,0.5,12% two-sided,0.8853,0.6425,0.9985,0.7180,,,
107,150,0.5,12% two-sided,0.8792,0.4210,0.8851,0.4174,,,
108,500,0.5,12% two-sided,0.1642,0.0202,0.1627,0.0077,,,
109,50,0.8,12% two-sided,0.9080,0.4780,0.9169,0.4995,,,
110,100,0.8,12% two-sided,0.4518,0.2746,0.9433,0.2821,,,
111,150,0.8,12% two-sided,0.2709,0.0520,0.2687,0.0339,,,
112,500,0.8,12% two-sided,0.0000,0.0000,0.0000,0.0000,,,
113,50,0,32% one-sided,0.9588,0.3299,0.9549,0.4884,,,
114,100,0,32% one-sided,1.0000,0.5247,0.9850,0.6977,,,
115,150,0,32% one-sided,1.0000,0.7664,1.0000,0.9729,,,
116,500,0,32% one-sided,1.0000,0.9988,1.0000,1.0000,,,
117,50,0.2,32% one-sided,0.0076,0.4559,0.0084,0.2763,,,
118,100,0.2,32% one-sided,0.0000,0.2518,0.0012,0.0997,,,
119,150,0.2,32% one-sided,0.0000,0.0487,0.0000,0.0012,,,
120,500,0.2,32% one-sided,0.0000,0.0000,0.0000,0.0000,,,
121,50,0.5,32% one-sided,0.0001,0.1729,0.0000,0.0664,,,
122,100,0.5,32% one-sided,0.0000,0.0572,0.0000,0.0086,,,
123,150,0.5,32% one-sided,0.0000,0.0015,0.0000,0.0000,,,
124,500,0.5,32% one-sided,0.0000,0.0000,0.0000,0.0000,,,
125,50,0.8,32% one-sided,0.0000,0.0416,0.0000,0.0064,,,
126,100,0.8,32% one-sided,0.0000,0.0086,0.0000,0.0005,,,
127,150,0.8,32% one-sided,0.0000,0.0000,0.0000,0.0000,,,
128,500,0.8,32% one-sided,0.0000,0.0000,0.0000,0.0000,,,
129,50,0,16% two-sided,0.0016,0.0331,0.0012,0.0149,,,
130,100,0,16% two-sided,0.0116,0.0690,0.0002,0.0205,,,
131,150,0,16% two-sided,0.0016,0.0357,0.0014,0.0192,,,
132,500,0,16% two-sided,0.0069,0.0496,0.0069,0.0337,,,
133,50,0.2,16% two-sided,0.9999,0.9538,0.9998,0.9804,,,
134,100,0.2,16% two-sided,0.9976,0.9013,1.0000,0.9718,,,
135,150,0.2,16% two-sided,1.0000,0.9185,1.0000,0.9643,,,
136,500,0.2,16% two-sided,0.9995,0.7903,0.9996,0.8805,,,
137,50,0.5,16% two-sided,0.9989,0.8177,0.9991,0.8880,,,
138,100,0.5,16% two-sided,0.9542,0.6721,0.9999,0.8115,,,
139,150,0.5,16% two-sided,0.9711,0.4964,0.9738,0.5806,,,
140,500,0.5,16% two-sided,0.5126,0.0440,0.5161,0.0393,,,
141,50,0.8,16% two-sided,0.9762,0.5594,0.9807,0.6488,,,
142,100,0.8,16% two-sided,0.6522,0.3289,0.9919,0.4317,,,
143,150,0.8,16% two-sided,0.5451,0.0835,0.5538,0.0808,,,
144,500,0.8,16% two-sided,0.0006,0.0000,0.0005,0.0000,,,
